,words,document_frequency,idf
0,セーフガード,2,4.0048284711681985
1,ウォリアーズ,8,3.4732464636306752
2,オーソ,32,2.8903694214999263
3,LIXIL,2,4.0048284711681985
4,Herserendipity,2,4.0048284711681985
5,リムル,10,3.3814417213378745
6,coloredblackhole,1,4.226694400154885
7,二階堂,2,4.0048284711681985
8,コンミュージックフェア,1,4.226694400154885
9,レォーグ,6,3.5897863989196144
10,カンニング,10,3.3814417213378745
11,スキル,536,1.6639265071552527
12,タック,173,2.1605212892936656
13,tedthecandybarinhispocket,1,4.226694400154885
14,ごり押し,3,3.85868325544004
15,レゴアーキテクチャーエンパイアステートビルディング,1,4.226694400154885
16,組立て,7,3.527621309401949
17,言い合い,5,3.662354248157242
18,Player,33,2.8771907749792853
19,アサーティブネス,9,3.4249245999275257
20,snkzone,1,4.226694400154885
21,EXPRESS,2,4.0048284711681985
22,initiate,2,4.0048284711681985
23,ネゴシエーター,1,4.226694400154885
24,エマール,1,4.226694400154885
25,AFSDXNIKKORmmfGVR,1,4.226694400154885
26,キョウワゼノビア,1,4.226694400154885
27,レシオ,12,3.3056866357425165
28,ゴジラ,9,3.4249245999275257
29,アノン,2,4.0048284711681985
30,グラウンディング,1,4.226694400154885
31,ミニッツ,8,3.4732464636306752
32,Men,49,2.70735508299171
33,とうきび,1,4.226694400154885
34,JDL,1,4.226694400154885
35,買い切り,11,3.3419159945656185
36,XperiaXZP,3,3.85868325544004
37,CBSB,2,4.0048284711681985
38,Jobidea,1,4.226694400154885
39,マーセナリーズリユニオン,2,4.0048284711681985
40,シーソーホソク,2,4.0048284711681985
41,有り物,2,4.0048284711681985
42,しこり,2,4.0048284711681985
43,Amazoncojp,5,3.662354248157242
44,ところどころ,5,3.662354248157242
45,アウトフィッター,2,4.0048284711681985
46,国盗り,2,4.0048284711681985
47,PhotoshopCS,2,4.0048284711681985
48,quote,1,4.226694400154885
49,liarsensor,1,4.226694400154885
50,イジリ,5,3.662354248157242
51,関ジャニ,15,3.2122133879933243
52,エディッタ,1,4.226694400154885
53,アルゴス,3,3.85868325544004
54,Ryzenrtxsuper,1,4.226694400154885
55,ポップン,3,3.85868325544004
56,serum,1,4.226694400154885
57,預かり人,1,4.226694400154885
58,RNA,41,2.7840498570727674
59,TDT,4,3.7495216052854055
60,TheWorldisollone,1,4.226694400154885
61,カトリックプロテスタントジューディッシュ,1,4.226694400154885
62,AptanaStudio,1,4.226694400154885
63,チャリ,36,2.839891112083867
64,CRYSTALMARK,1,4.226694400154885
65,ァージニア,2,4.0048284711681985
66,パッケケージ,1,4.226694400154885
67,amplitube,1,4.226694400154885
68,ザウバー,4,3.7495216052854055
69,パサー,7,3.527621309401949
70,怒り顔,1,4.226694400154885
71,fork,2,4.0048284711681985
72,BIGBANG,2,4.0048284711681985
73,TheAdvancingGuitarist,1,4.226694400154885
74,ヘッドスライデイング,2,4.0048284711681985
75,トロコン,2,4.0048284711681985
76,ラウンドワンスポッチャ,1,4.226694400154885
77,合コン,21,3.0700034827048093
78,jpg,7,3.527621309401949
79,タンバリン,1,4.226694400154885
80,onContextMenufunction,1,4.226694400154885
81,レストランジジーノ,1,4.226694400154885
82,ウサギ,2,4.0048284711681985
83,フォールアウト,25,2.9958329862127773
84,bro,17,3.159472659017989
85,晒し者,1,4.226694400154885
86,ニコロ,4,3.7495216052854055
87,マテリアルズ,1,4.226694400154885
88,ギガイアス,2,4.0048284711681985
89,ホック,992,1.3886880594985933
90,ルータモデムネット,2,4.0048284711681985
91,improve,13,3.2722456934067816
92,org,101,2.394598307235282
93,ainabilitysustainability,1,4.226694400154885
94,グアナバラ,1,4.226694400154885
95,プルヌイレカ,1,4.226694400154885
96,チャンギ,4,3.7495216052854055
97,リベレーター,1,4.226694400154885
98,GTXtiSLISSDTB,1,4.226694400154885
99,シーズン,366,1.8323956279648919
100,オルタナティブガールズオルガル,2,4.0048284711681985
101,DinasorJr,1,4.226694400154885
102,フェンサー,1,4.226694400154885
103,かばん,5,3.662354248157242
104,アップル,64,2.592142314865016
105,仕込み刀,2,4.0048284711681985
106,ジョージ,45,2.7440177266532246
107,スエボ,1,4.226694400154885
108,ティナ,79,2.5010764947581037
109,PTR,1,4.226694400154885
110,サイク,183,2.1360116982638853
111,coreeditor,1,4.226694400154885
